,Lugar,Grabadora,Transformación,Permanencia,Longitud,ACIft,ADI,ACItf,BI,TE,ESM,NDSI,P,M,NP,MID,BNF,BNT,MD,FM,SF,RMS,CF,ADIm1,ADIm2,ADIm3,ADIm4,ADIm5,ADIm6,ADIm7,ADIm8,ADIm9,ADIm10,ADIm11
20170102,Guajira,302151,Media,Alta,"73º25'51.9""W",-0.0376403269,0.669069817,-0.2831841392,0.3946534726,0.2008218499,0.830674386,-0.9028942289,-0.1732868533,-1.1645757194,-0.8766192137,-0.5375564213,-0.501640611,-0.9981464303,-0.2500764963,-0.2639230099,-0.1102098074,-1.1300757746,-0.4991337919,0.3107377271,0.2339350457,-0.5850809088,-0.4038849274,0.0275434469,-0.2640499028,-0.1449065047,0.2241238015,0.5379996927,0.4730386145,0.3679968521
20170103,Guajira,302151,Media,Alta,"73º25'51.9""W",0.01637228,0.9483462815,-0.0969435201,0.4892820949,0.2209237208,0.6841726873,-0.8139768932,0.1144857763,-1.1501867205,-0.8034794119,-0.8383018136,-0.4982559871,-0.9981464303,-0.093794549,-0.0175304385,-0.2963899942,-1.1253455282,-0.519024199,0.6220489879,0.4131343604,-0.4378474734,-0.1663551056,0.3874370967,-0.2971268084,-0.2385452127,0.1553954573,0.6786369318,0.6287381807,0.2334599833
20170104,Guajira,302151,Media,Alta,"73º25'51.9""W",0.0132556447,1.0278611879,-0.1213635473,0.693105929,0.1967460138,0.8256769491,-0.6613375161,0.3654279218,-1.1485379794,-0.9131891146,-0.7409475647,-0.4976480824,-0.9981464303,-0.0687055148,-0.1572776138,-0.0274682378,-1.1262495327,-0.524420815,0.5515363143,0.3281085796,-0.3604399522,-0.1656273793,0.2872551617,-0.296655475,-0.3028284681,0.3019361964,0.8693132804,0.8007539245,0.6445885739
20170110,Guajira,302151,Media,Alta,"73º25'51.9""W",0.057277263,0.2128216517,-0.5305743967,0.4471301448,-0.1294997935,0.8301074217,-0.557139708,-0.3117529267,-1.1250141497,-0.8659218957,-0.0989224321,-0.4595515908,-0.9981464303,-0.4229480876,0.3828757179,-0.6814003723,-1.0328268293,-0.3902601183,-0.6078000137,-0.575438073,-1.0327130664,-0.5221329698,-0.7044598467,-1.6851942485,-0.9665230183,0.210618177,0.2573521826,0.2275178214,0.2826029318
20151212,Guajira,5072,Media,Alta,73º26'36.9''W,-1.0419466605,1.1475612007,-0.7344871746,0.2928269249,0.7792145365,0.8715772257,1.0532360619,0.9451918545,0.1566329714,-1.0167733894,-0.1951254617,-0.4803049635,-0.9981464303,-0.7163627309,0.4492266488,0.1627044833,0.080492818,-0.5235858451,0.8052048113,0.4376100591,-0.1354322909,-0.3486779961,0.4764241493,0.6274777214,0.695802703,0.1396529024,0.3862212516,0.9153861517,0.9679180231
20151213,Guajira,5072,Media,Alta,73º26'36.9''W,-0.9807054859,1.1227863583,-0.8048482823,0.3538975248,0.7718810004,0.8483367981,1.0268782111,1.1096984309,0.1591316562,-1.0141916981,-0.2369149287,-0.4770287095,-0.9981464303,-0.7114802779,0.6015495188,0.272373739,0.0837379436,-0.5274040318,0.8665620773,0.6833313371,-0.0947231511,-1.0069338017,0.3709109047,0.9423428707,0.8392068265,-0.0639958183,0.4779918973,0.92824264,1.0225057544
20151214,Guajira,5072,Media,Alta,73º26'36.9''W,-0.9019893503,1.1485686333,-0.6926352717,0.3793721548,0.7742834352,0.6860403158,1.1342367863,1.3453535757,0.1630426922,-1.0490201751,-0.6549858344,-0.4822907545,-0.9981464303,-0.7176115346,0.4961708241,0.0348292342,0.0860964479,-0.518858467,0.8336298246,0.5316507246,-0.1494495002,-0.5602555468,0.4855326094,0.7575198474,0.9579453235,-0.2531278554,0.5122528358,0.9214644332,0.8555988833
20151215,Guajira,5072,Media,Alta,73º26'36.9''W,-1.2204629962,1.2492044451,-0.5405699685,0.0842056719,0.8133321827,0.5924665017,0.8917288709,-0.4238707143,0.1266889123,-1.0515531553,-0.3815967751,-0.5219627176,-0.9981464303,-0.7143631508,0.1065564213,0.3249843343,0.058857278,-0.5234651179,0.4611416372,0.2209137365,-0.4490260123,-1.0270210031,0.0879734464,0.6286405598,0.3723690014,0.208830988,0.3526827659,0.8453684852,0.8696471409
20151227,Guajira,5072,Media,Alta,73º26'36.9''W,-0.5794529017,1.2135403158,-0.7050878571,-0.1395097323,0.8185925371,0.3204332985,0.9244064798,0.1284516278,0.136773235,-0.97468695,-0.6689615261,-0.5360086813,-0.9981464303,-0.6073187875,0.7796613483,0.5868835328,0.0655898677,-0.54928101,0.5338528476,0.2311818486,-0.1311542309,-0.4483676884,-0.0014003963,0.4513325139,0.2336455028,0.3908266552,0.4772567214,0.8719460939,0.5684078845
20151228,Guajira,5072,Media,Alta,73º26'36.9''W,-0.6285462821,1.2441168333,-0.6710230103,0.1281264733,0.8106693625,0.1698609461,0.9730564954,0.4735893953,0.1407452184,-1.0834102518,-0.6821719227,-0.5294949354,-0.9981464303,-0.626340607,0.7262224956,0.4825010901,0.0695179347,-0.5427396739,0.9194886172,0.4841251391,-0.4209771186,-0.9553116208,-0.0036689519,0.3958212046,0.2021520001,0.3328061442,0.3154762889,0.7875706773,0.5343001383
20151229,Guajira,5072,Media,Alta,73º26'36.9''W,-0.661505627,1.3564118602,-0.7286644723,0.1604675525,0.8118466256,0.3311689933,1.005450783,0.1389256776,0.1363955763,-1.1254966912,-0.7185584534,-0.5268339846,-0.9981464303,-0.6244960236,0.7638081433,0.4473313503,0.0658098579,-0.5536160311,0.8621869594,0.5550766943,-0.2110016835,-0.6206292342,-0.0379979845,0.3647256608,0.4172608997,0.2065779726,0.4998109387,0.8040399854,0.5329578613
20151231,Guajira,5072,Media,Alta,73º26'36.9''W,-0.622739768,1.1942545025,-0.5317195986,0.3824219361,0.8003604893,0.1438202003,1.2029852158,0.604032093,0.1490594724,-1.0433883363,-0.7158414215,-0.5106278684,-0.9981464303,-0.6650922305,0.5810853115,0.2888260861,0.0765867714,-0.5408029573,0.7020418972,0.0931607526,-0.6919960966,-0.9860582092,-0.4015717232,0.4990632617,0.8275791038,0.1507133473,0.4427871949,0.7287027683,0.2295970541
